REGION: Northern California and Sierra Counties,,,,,,,,,
,2014,,,,,2019,,,
"Remaining Uninsured, Age 0-64",BASE,,ENHANCED,,,BASE,,ENHANCED,
All,"144,000",100%,"114,000",100%,,"120,000",100%,"92,000",100%
Gender,,,,,,,,,
Male,"84,000",58%,"67,000",59%,,"70,000",58%,"54,000",58%
Female,"60,000",42%,"46,000",41%,,"50,000",42%,"38,000",42%
Race and Ethnicity,,,,,,,,,
Latino,"50,000",35%,"40,000",36%,,"44,000",37%,"35,000",38%
Asian,"6,000",4%,"5,000",4%,,"5,000",4%,"4,000",4%
African American,"1,000",1%,"1,000",0%,,"1,000",0%,0,0%
White,"81,000",56%,"63,000",56%,,"65,000",54%,"50,000",54%
Other,"6,000",4%,"5,000",4%,,"5,000",4%,"4,000",4%
Age,,,,,,,,,
0-18 years,"17,000",12%,"14,000",12%,,"18,000",15%,"14,000",16%
19-29 years,"49,000",34%,"40,000",35%,,"39,000",33%,"30,000",32%
30-44 years,"33,000",23%,"26,000",23%,,"29,000",24%,"23,000",25%
45-64 years,"45,000",31%,"33,000",29%,,"34,000",29%,"25,000",27%
Income,,,,,,,,,
100% FPL or less,"51,000",36%,"37,000",32%,,"47,000",39%,"36,000",39%
101-138% FPL,"15,000",10%,"10,000",9%,,"12,000",10%,"9,000",10%
139-200% FPL,"30,000",21%,"24,000",21%,,"21,000",17%,"14,000",15%
201-250% FPL,"15,000",10%,"12,000",11%,,"11,000",10%,"8,000",9%
251-400% FPL,"20,000",14%,"18,000",15%,,"16,000",13%,"13,000",14%
401 % FPL or more,"14,000",9%,"14,000",12%,,"13,000",11%,"13,000",14%
Limited English Proficiency (18+),,,,,,,,,
18+ Speaks English Very Well,"92,000",64%,"72,000",63%,,"71,000",59%,"54,000",59%
18+ Limited English Proficiency,"36,000",25%,"29,000",25%,,"32,000",26%,"24,000",26%
Self Reported Health Status,,,,,,,,,
Excellent,"34,000",23%,"28,000",25%,,"30,000",25%,"24,000",26%
Very Good,"50,000",35%,"41,000",36%,,"42,000",35%,"33,000",35%
Good,"42,000",29%,"32,000",28%,,"34,000",28%,"25,000",27%
Fair,"15,000",11%,"11,000",10%,,"12,000",10%,"9,000",9%
Poor,"3,000",2%,"2,000",2%,,"3,000",2%,"2,000",2%
Employment Status,,,,,,,,,
Not Employed,"56,000",39%,"43,000",38%,,"48,000",40%,"36,000",39%
Employed,"88,000",61%,"71,000",62%,,"72,000",60%,"56,000",61%
Immigration Status,,,,,,,,,
Citizen or Legal Permanent Resident >5yrs,"119,000",82%,"90,000",79%,,"95,000",79%,"69,000",75%
Legal Permanent Resident <5 yrs,"3,000",2%,"2,000",2%,,"2,000",1%,"1,000",1%
Undocumented Immigrant,"23,000",16%,"22,000",19%,,"23,000",20%,"23,000",24%
,,,,,,,,,
REGION: Greater Bay Area,,,,,,,,,
,2014,,,,,2019,,,
"Remaining Uninsured, Age 0-64",BASE,,ENHANCED,,,BASE,,ENHANCED,
All,"628,000",100%,"528,000",100%,,"571,000",100%,"463,000",100%
Gender,,,,,,,,,
Male,"327,000",52%,"277,000",52%,,"293,000",51%,"238,000",51%
Female,"300,000",48%,"251,000",48%,,"278,000",49%,"225,000",49%
Race and Ethnicity,,,,,,,,,
Latino,"341,000",54%,"280,000",53%,,"307,000",54%,"242,000",52%
Asian,"134,000",21%,"118,000",22%,,"124,000",22%,"105,000",23%
African American,"20,000",3%,"16,000",3%,,"17,000",3%,"14,000",3%
White,"120,000",19%,"103,000",19%,,"111,000",19%,"94,000",20%
Other,"13,000",2%,"11,000",2%,,"11,000",2%,"9,000",2%
Age,,,,,,,,,
0-18 years,"65,000",10%,"57,000",11%,,"72,000",13%,"62,000",13%
19-29 years,"147,000",23%,"123,000",23%,,"115,000",20%,"88,000",19%
30-44 years,"244,000",39%,"205,000",39%,,"227,000",40%,"187,000",40%
45-64 years,"171,000",27%,"143,000",27%,,"157,000",27%,"127,000",27%
Income,,,,,,,,,
100% FPL or less,"162,000",26%,"124,000",23%,,"160,000",28%,"125,000",27%
101-138% FPL,"53,000",8%,"38,000",7%,,"45,000",8%,"36,000",8%
139-200% FPL,"86,000",14%,"69,000",13%,,"66,000",12%,"46,000",10%
201-250% FPL,"63,000",10%,"52,000",10%,,"54,000",9%,"39,000",8%
251-400% FPL,"92,000",15%,"80,000",15%,,"77,000",14%,"62,000",13%
401 % FPL or more,"171,000",27%,"165,000",31%,,"169,000",30%,"156,000",34%
Limited English Proficiency (18+),,,,,,,,,
18+ Speaks English Very Well,"238,000",38%,"205,000",39%,,"205,000",36%,"173,000",37%
18+ Limited English Proficiency,"329,000",52%,"269,000",51%,,"298,000",52%,"231,000",50%
Self Reported Health Status,,,,,,,,,
Excellent,"155,000",25%,"135,000",26%,,"143,000",25%,"120,000",26%
Very Good,"197,000",31%,"168,000",32%,,"181,000",32%,"148,000",32%
Good,"194,000",31%,"162,000",31%,,"171,000",30%,"136,000",29%
Fair,"74,000",12%,"56,000",11%,,"69,000",12%,"53,000",11%
Poor,"8,000",1%,"6,000",1%,,"7,000",1%,"6,000",1%
Employment Status,,,,,,,,,
Not Employed,"255,000",41%,"209,000",40%,,"231,000",41%,"184,000",40%
Employed,"372,000",59%,"319,000",60%,,"340,000",59%,"279,000",60%
Immigration Status,,,,,,,,,
Citizen or Legal Permanent Resident >5yrs,"410,000",65%,"329,000",62%,,"361,000",63%,"279,000",60%
Legal Permanent Resident <5 yrs,"71,000",11%,"55,000",10%,,"52,000",9%,"32,000",7%
Undocumented Immigrant,"147,000",23%,"144,000",27%,,"158,000",28%,"152,000",33%
,,,,,,,,,
